Frame X Y Probability
1 432 215 1.00
95 437 212 1.00
305 440 217 1.00
494 428 214 1.00
755 434 202 1.00
780 425 204 1.00
783 426 207 1.00
785 427 207 1.00
787 431 204 1.00
789 432 206 1.00
792 430 205 1.00
795 426 210 1.00
799 420 213 1.00
804 415 215 1.00
807 422 217 1.00
808 421 218 1.00
809 421 218 1.00
810 421 216 1.00
811 421 216 1.00
812 419 216 1.00
813 420 217 1.00
814 416 215 1.00
815 415 215 1.00
816 411 217 1.00
904 399 216 1.00
922 428 218 1.00
963 430 216 1.00
994 433 220 1.00
1089 435 216 1.00
2405 434 211 1.00
2885 433 214 1.00
2910 434 207 1.00
2914 436 205 1.00
2922 435 198 1.00
2930 439 198 1.00
2937 426 202 1.00
2945 421 214 1.00
2948 418 213 1.00
2950 418 215 1.00
2951 416 215 1.00
2953 411 215 1.00
2957 401 215 1.00
2987 405 218 1.00
2988 402 219 1.00
2992 386 219 1.00
10297 427 212 1.00
10298 427 211 1.00
10299 427 210 1.00
10300 430 209 1.00
10301 434 208 1.00
10302 433 210 1.00
10305 424 210 1.00
10308 412 211 1.00
10311 406 213 1.00
10314 403 214 1.00
10315 399 214 1.00
10316 395 214 1.00
10320 392 214 1.00
10328 391 211 1.00
10462 397 198 1.00
10464 403 191 1.00
10465 405 192 1.00
10466 413 190 1.00
10467 417 192 1.00
10468 419 189 1.00
10469 421 184 1.00
10470 423 185 1.00
10471 424 185 1.00
10472 423 187 1.00
10473 423 196 1.00
10474 420 195 1.00
10475 416 199 1.00
10478 409 200 1.00
10483 401 200 1.00
10486 397 200 1.00
10487 395 200 1.00
10492 386 201 1.00
10560 402 212 1.00
10721 424 192 1.00
10722 403 214 1.00
11505 413 210 1.00
11897 416 208 1.00
12117 415 208 1.00
12127 415 206 1.00
12743 416 208 1.00
13092 431 202 1.00
13123 421 207 1.00
13134 414 211 1.00
13138 417 216 1.00
13143 415 218 1.00
13149 394 213 1.00
13156 398 210 1.00
13213 427 211 1.00
13248 447 204 1.00
13257 429 208 1.00
13271 417 208 1.00
13346 399 211 1.00
13353 394 212 1.00
13395 415 211 1.00
13507 427 216 1.00
13676 442 214 1.00
14005 428 216 1.00
14578 428 211 1.00
14625 428 213 1.00
14628 431 217 1.00
14630 432 218 1.00
14648 420 215 1.00
14651 414 219 1.00
14657 409 218 1.00
14690 410 214 1.00
14733 408 210 1.00
14738 399 208 1.00
14747 414 209 1.00
14803 412 213 1.00
15075 412 210 1.00
15662 432 213 1.00
15768 379 214 1.00
16287 421 220 1.00
16391 451 220 1.00
16406 438 219 1.00
16426 405 219 1.00
16440 400 206 1.00
16483 404 212 1.00
16490 392 209 1.00
16581 414 211 1.00
17210 428 212 1.00
17343 429 212 1.00
17988 430 213 1.00
18660 430 213 1.00
18891 433 213 1.00
18945 426 213 1.00
18953 433 213 1.00
19021 410 220 1.00
19022 408 221 1.00
19024 399 219 1.00
19275 417 216 1.00
19346 420 212 1.00
19485 411 210 1.00
19717 422 208 1.00
20262 426 206 1.00
20402 433 210 1.00
20406 433 210 1.00
20417 429 210 1.00
20767 424 211 1.00
20977 427 210 1.00
28739 396 208 1.00
28747 424 208 1.00
28831 408 210 1.00
